,unique_id,x_index,y_index,time_bin,crime_count,neighbourhood_crime_count,hotspot
23,8666,108,51,2012-03-01,2.0,19.0,0
50,6615,83,38,2012-03-01,0.0,17.0,0
53,8668,108,53,2012-03-01,2.0,19.0,0
76,2453,44,94,2012-03-01,0.0,23.0,0
140,4802,65,46,2012-03-01,0.0,33.0,0
174,4803,65,47,2012-03-01,3.0,45.0,0
196,4350,61,56,2012-03-01,3.0,84.0,0
197,1752,38,100,2012-03-01,0.0,30.0,0
207,5175,68,73,2012-03-01,0.0,32.0,0
220,2457,44,98,2012-03-01,0.0,17.0,0
235,9747,121,71,2012-03-01,0.0,11.0,0
241,8987,112,51,2012-03-01,0.0,25.0,0
272,8651,108,36,2012-03-01,1.0,32.0,0
304,8653,108,38,2012-03-01,4.0,27.0,0
306,10397,129,42,2012-03-01,2.0,45.0,0
348,11266,140,41,2012-03-01,1.0,28.0,0
349,9381,117,32,2012-03-01,3.0,26.0,0
389,8648,108,33,2012-03-01,1.0,35.0,0
398,10392,129,37,2012-03-01,0.0,43.0,0
448,2452,44,93,2012-03-01,0.0,23.0,0
513,8657,108,42,2012-03-01,0.0,22.0,0
596,8712,109,19,2012-03-01,1.0,18.0,0
646,4815,65,59,2012-03-01,2.0,93.0,0
647,8973,112,37,2012-03-01,0.0,27.0,0
668,4814,65,58,2012-03-01,0.0,106.0,0
669,8974,112,38,2012-03-01,1.0,24.0,0
687,9420,117,75,2012-03-01,0.0,10.0,0
699,8968,112,32,2012-03-01,0.0,31.0,0
713,8721,109,28,2012-03-01,0.0,28.0,0
735,10470,130,34,2012-03-01,0.0,28.0,0
746,5968,76,52,2012-03-01,0.0,29.0,0
753,8970,112,34,2012-03-01,1.0,30.0,0
766,5967,76,51,2012-03-01,1.0,31.0,0
802,5969,76,53,2012-03-01,1.0,28.0,0
810,11587,144,49,2012-03-01,0.0,21.0,0
822,6610,83,33,2012-03-01,0.0,11.0,0
823,9404,117,55,2012-03-01,0.0,26.0,0
846,4808,65,52,2012-03-01,5.0,134.0,1
851,5159,68,57,2012-03-01,0.0,106.0,0
868,4807,65,51,2012-03-01,1.0,127.0,0
870,5160,68,58,2012-03-01,0.0,96.0,0
896,1753,38,101,2012-03-01,0.0,29.0,0
908,4349,61,55,2012-03-01,5.0,87.0,1
911,4348,61,54,2012-03-01,0.0,88.0,0
927,9402,117,53,2012-03-01,1.0,21.0,0
944,6609,83,32,2012-03-01,1.0,8.0,0
951,5153,68,51,2012-03-01,0.0,115.0,0
956,4811,65,55,2012-03-01,1.0,135.0,0
958,11586,144,48,2012-03-01,0.0,21.0,0
966,5955,76,39,2012-03-01,0.0,8.0,0
976,9408,117,59,2012-03-01,0.0,25.0,0
980,5152,68,50,2012-03-01,1.0,102.0,0
1002,4812,65,56,2012-03-01,0.0,131.0,0
1020,4809,65,53,2012-03-01,2.0,134.0,0
1026,5157,68,55,2012-03-01,7.0,119.0,1
1035,10749,133,72,2012-03-01,3.0,10.0,0
1038,5158,68,56,2012-03-01,4.0,118.0,0
1056,4810,65,54,2012-03-01,1.0,137.0,0
1057,8978,112,42,2012-03-01,0.0,19.0,0
1059,5155,68,53,2012-03-01,1.0,120.0,0
1075,5156,68,54,2012-03-01,4.0,120.0,0
1081,10390,129,35,2012-03-01,0.0,33.0,0
1085,10323,128,52,2012-03-01,0.0,17.0,0
1087,4732,64,91,2012-03-01,0.0,17.0,0
1098,9326,116,58,2012-03-01,1.0,23.0,0
1103,10322,128,51,2012-03-01,0.0,20.0,0
1139,8151,101,78,2012-03-01,1.0,25.0,0
1254,5273,69,57,2012-03-01,0.0,104.0,0
1301,9834,122,74,2012-03-01,3.0,13.0,0
1317,3147,50,96,2012-03-01,0.0,23.0,0
1357,9317,116,49,2012-03-01,0.0,13.0,0
1361,2369,44,8,2012-03-01,1.0,8.0,0
1393,11043,137,50,2012-03-01,0.0,23.0,0
1403,3187,51,21,2012-03-01,0.0,9.0,0
1406,8575,107,38,2012-03-01,0.0,27.0,0
1450,7084,88,52,2012-03-01,1.0,11.0,0
1464,1292,33,98,2012-03-01,3.0,27.0,0
1480,11042,137,49,2012-03-01,0.0,21.0,0
1514,11044,137,51,2012-03-01,0.0,23.0,0
1522,9323,116,55,2012-03-01,0.0,23.0,0
1568,10311,128,40,2012-03-01,1.0,48.0,0
1576,1290,33,96,2012-03-01,1.0,27.0,0
1584,10310,128,39,2012-03-01,0.0,52.0,0
1619,10312,128,41,2012-03-01,1.0,50.0,0
1688,10798,134,41,2012-03-01,1.0,35.0,0
1692,7422,92,61,2012-03-01,0.0,13.0,0
1760,8643,108,28,2012-03-01,0.0,29.0,0
1762,5892,75,74,2012-03-01,0.0,45.0,0
1774,8642,108,27,2012-03-01,0.0,29.0,0
1792,8645,108,30,2012-03-01,1.0,33.0,0
1796,8106,101,33,2012-03-01,2.0,22.0,0
1806,9378,117,29,2012-03-01,0.0,32.0,0
1822,8644,108,29,2012-03-01,0.0,32.0,0
1847,11781,148,34,2012-03-01,1.0,8.0,0
1913,6819,85,60,2012-03-01,1.0,11.0,0
1967,5271,69,55,2012-03-01,7.0,115.0,1
1994,5865,75,47,2012-03-01,1.0,25.0,0
2006,5269,69,53,2012-03-01,0.0,116.0,0
2018,5270,69,54,2012-03-01,2.0,115.0,0
2037,4386,61,92,2012-03-01,0.0,18.0,0
2110,5872,75,54,2012-03-01,3.0,30.0,0
2119,10342,128,71,2012-03-01,0.0,11.0,0
2127,6989,87,47,2012-03-01,0.0,11.0,0
2176,6074,77,60,2012-03-01,2.0,27.0,0
2182,11122,138,52,2012-03-01,1.0,31.0,0
2188,6073,77,59,2012-03-01,2.0,34.0,0
2203,6076,77,62,2012-03-01,2.0,28.0,0
2225,4238,60,57,2012-03-01,0.0,60.0,0
2299,4237,60,56,2012-03-01,0.0,66.0,0
