,unique_id,x_index,y_index,time_bin,crime_count,neighbor_1_1,neighbor_2_1,neighbor_3_1,neighbor_1_2,neighbor_3_2,neighbor_1_3,neighbor_2_3,neighbor_3_3,hotspot
178,1290,33,96,2012-03-01,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0
180,1292,33,98,2012-03-01,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0
200,1370,34,97,2012-03-01,0.0,1.0,1.0,3.0,1.0,0.0,0.0,2.0,1.0,0
201,1371,34,98,2012-03-01,0.0,1.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,0
226,1448,35,101,2012-03-01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
241,1522,36,95,2012-03-01,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
289,1637,37,103,2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
326,1752,38,100,2012-03-01,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0
327,1753,38,101,2012-03-01,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
450,2096,41,94,2012-03-01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
544,2338,43,98,2012-03-01,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
553,2369,44,8,2012-03-01,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
593,2452,44,93,2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
594,2453,44,94,2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
598,2457,44,98,2012-03-01,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0
642,2568,45,93,2012-03-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
700,2687,46,97,2012-03-01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
740,2795,47,91,2012-03-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
746,2801,47,97,2012-03-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
793,2911,48,91,2012-03-01,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0
907,3147,50,96,2012-03-01,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,2.0,0
925,3187,51,21,2012-03-01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
968,3261,51,95,2012-03-01,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
969,3262,51,96,2012-03-01,0.0,1.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0
1094,3486,53,92,2012-03-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1386,4013,58,55,2012-03-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0
1390,4017,58,59,2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1454,4126,59,57,2012-03-01,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0
1455,4127,59,58,2012-03-01,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0
1456,4128,59,59,2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1466,4149,59,80,2012-03-01,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0
1515,4236,60,55,2012-03-01,4.0,1.0,1.0,3.0,0.0,0.0,0.0,5.0,3.0,0
1516,4237,60,56,2012-03-01,0.0,1.0,3.0,4.0,4.0,0.0,5.0,3.0,1.0,0
1517,4238,60,57,2012-03-01,0.0,3.0,4.0,0.0,0.0,1.0,3.0,1.0,0.0,0
1542,4273,60,92,2012-03-01,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1584,4348,61,54,2012-03-01,0.0,0.0,0.0,4.0,0.0,5.0,1.0,0.0,1.0,0
1585,4349,61,55,2012-03-01,5.0,0.0,4.0,0.0,0.0,3.0,0.0,1.0,0.0,1
1586,4350,61,56,2012-03-01,3.0,4.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0
1614,4386,61,92,2012-03-01,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
1652,4456,62,46,2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1655,4459,62,49,2012-03-01,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,0
1656,4460,62,50,2012-03-01,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0
1657,4461,62,51,2012-03-01,0.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,0
1659,4463,62,53,2012-03-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
1664,4468,62,58,2012-03-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0
1719,4571,63,45,2012-03-01,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0
1720,4572,63,46,2012-03-01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1721,4573,63,47,2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
