,unique_id,time_bin,crime_count,hotspot,predicted
26,6660,2017-03-01,0.0,0,0
27,6660,2017-03-15,0.0,0,0
28,6660,2017-03-29,0.0,0,0
29,6660,2017-04-12,0.0,0,0
30,6660,2017-04-26,0.0,0,0
31,6660,2017-05-10,0.0,0,0
32,6660,2017-05-24,0.0,0,0
59,6666,2017-03-01,0.0,0,0
60,6666,2017-03-15,0.0,0,0
61,6666,2017-03-29,0.0,0,0
62,6666,2017-04-12,0.0,0,0
63,6666,2017-04-26,0.0,0,0
64,6666,2017-05-10,0.0,0,0
65,6666,2017-05-24,0.0,0,0
92,6838,2017-03-01,0.0,0,0
93,6838,2017-03-15,0.0,0,0
94,6838,2017-03-29,0.0,0,0
95,6838,2017-04-12,0.0,0,0
96,6838,2017-04-26,0.0,0,0
97,6838,2017-05-10,0.0,0,0
98,6838,2017-05-24,0.0,0,0
125,7008,2017-03-01,0.0,0,0
126,7008,2017-03-15,1.0,0,0
127,7008,2017-03-29,1.0,0,0
128,7008,2017-04-12,0.0,0,0
129,7008,2017-04-26,0.0,0,0
130,7008,2017-05-10,0.0,0,0
131,7008,2017-05-24,0.0,0,0
158,7018,2017-03-01,0.0,0,0
159,7018,2017-03-15,0.0,0,0
160,7018,2017-03-29,0.0,0,0
161,7018,2017-04-12,0.0,0,0
162,7018,2017-04-26,0.0,0,0
163,7018,2017-05-10,0.0,0,0
164,7018,2017-05-24,0.0,0,0
191,7194,2017-03-01,3.0,1,1
192,7194,2017-03-15,2.0,0,1
193,7194,2017-03-29,1.0,0,1
194,7194,2017-04-12,1.0,0,1
195,7194,2017-04-26,4.0,1,1
196,7194,2017-05-10,1.0,0,1
197,7194,2017-05-24,2.0,0,1
224,7377,2017-03-01,0.0,0,0
225,7377,2017-03-15,0.0,0,0
226,7377,2017-03-29,0.0,0,0
227,7377,2017-04-12,0.0,0,0
228,7377,2017-04-26,0.0,0,0
229,7377,2017-05-10,0.0,0,0
230,7377,2017-05-24,1.0,0,0
257,7380,2017-03-01,0.0,0,0
258,7380,2017-03-15,0.0,0,0
259,7380,2017-03-29,0.0,0,0
260,7380,2017-04-12,1.0,0,0
261,7380,2017-04-26,0.0,0,0
262,7380,2017-05-10,2.0,0,0
263,7380,2017-05-24,1.0,0,0
290,7381,2017-03-01,0.0,0,0
291,7381,2017-03-15,0.0,0,0
292,7381,2017-03-29,0.0,0,0
293,7381,2017-04-12,0.0,0,0
294,7381,2017-04-26,2.0,0,0
295,7381,2017-05-10,1.0,0,0
296,7381,2017-05-24,1.0,0,0
323,7385,2017-03-01,0.0,0,0
324,7385,2017-03-15,0.0,0,0
325,7385,2017-03-29,0.0,0,0
326,7385,2017-04-12,0.0,0,0
327,7385,2017-04-26,0.0,0,0
328,7385,2017-05-10,0.0,0,0
329,7385,2017-05-24,0.0,0,0
356,7563,2017-03-01,1.0,0,0
357,7563,2017-03-15,1.0,0,0
358,7563,2017-03-29,0.0,0,0
359,7563,2017-04-12,0.0,0,0
360,7563,2017-04-26,1.0,0,0
361,7563,2017-05-10,0.0,0,0
362,7563,2017-05-24,0.0,0,0
389,7564,2017-03-01,0.0,0,0
390,7564,2017-03-15,0.0,0,0
391,7564,2017-03-29,0.0,0,0
392,7564,2017-04-12,0.0,0,0
393,7564,2017-04-26,0.0,0,0
394,7564,2017-05-10,0.0,0,0
395,7564,2017-05-24,0.0,0,0
422,7565,2017-03-01,0.0,0,0
423,7565,2017-03-15,0.0,0,0
424,7565,2017-03-29,0.0,0,0
425,7565,2017-04-12,0.0,0,0
426,7565,2017-04-26,0.0,0,0
427,7565,2017-05-10,0.0,0,0
428,7565,2017-05-24,0.0,0,0
455,7566,2017-03-01,1.0,0,0
456,7566,2017-03-15,0.0,0,0
457,7566,2017-03-29,0.0,0,0
458,7566,2017-04-12,0.0,0,0
459,7566,2017-04-26,0.0,0,0
460,7566,2017-05-10,0.0,0,0
461,7566,2017-05-24,0.0,0,0
488,7739,2017-03-01,0.0,0,0
489,7739,2017-03-15,0.0,0,0
490,7739,2017-03-29,1.0,0,0
491,7739,2017-04-12,0.0,0,0
492,7739,2017-04-26,0.0,0,0
493,7739,2017-05-10,0.0,0,0
494,7739,2017-05-24,0.0,0,0
521,7740,2017-03-01,0.0,0,0
522,7740,2017-03-15,0.0,0,0
523,7740,2017-03-29,1.0,0,0
524,7740,2017-04-12,1.0,0,0
525,7740,2017-04-26,1.0,0,0
526,7740,2017-05-10,0.0,0,0
527,7740,2017-05-24,0.0,0,0
554,7744,2017-03-01,0.0,0,0
555,7744,2017-03-15,0.0,0,0
556,7744,2017-03-29,0.0,0,0
557,7744,2017-04-12,0.0,0,0
558,7744,2017-04-26,0.0,0,0
559,7744,2017-05-10,0.0,0,0
560,7744,2017-05-24,0.0,0,0
587,7745,2017-03-01,0.0,0,0
588,7745,2017-03-15,0.0,0,0
589,7745,2017-03-29,0.0,0,0
590,7745,2017-04-12,0.0,0,0
591,7745,2017-04-26,0.0,0,0
592,7745,2017-05-10,0.0,0,0
593,7745,2017-05-24,0.0,0,0
620,7750,2017-03-01,0.0,0,0
621,7750,2017-03-15,0.0,0,0
622,7750,2017-03-29,0.0,0,0
623,7750,2017-04-12,0.0,0,0
624,7750,2017-04-26,0.0,0,0
625,7750,2017-05-10,0.0,0,0
626,7750,2017-05-24,0.0,0,0
653,7752,2017-03-01,0.0,0,0
654,7752,2017-03-15,0.0,0,0
655,7752,2017-03-29,0.0,0,0
656,7752,2017-04-12,0.0,0,0
657,7752,2017-04-26,0.0,0,0
658,7752,2017-05-10,0.0,0,0
659,7752,2017-05-24,0.0,0,0
686,7919,2017-03-01,0.0,0,0
687,7919,2017-03-15,0.0,0,0
688,7919,2017-03-29,0.0,0,0
689,7919,2017-04-12,0.0,0,0
690,7919,2017-04-26,0.0,0,0
691,7919,2017-05-10,0.0,0,0
692,7919,2017-05-24,0.0,0,0
719,7924,2017-03-01,0.0,0,0
720,7924,2017-03-15,0.0,0,0
721,7924,2017-03-29,0.0,0,0
722,7924,2017-04-12,0.0,0,0
723,7924,2017-04-26,0.0,0,0
724,7924,2017-05-10,0.0,0,0
725,7924,2017-05-24,0.0,0,0
752,8078,2017-03-01,0.0,0,0
753,8078,2017-03-15,0.0,0,0
754,8078,2017-03-29,0.0,0,0
755,8078,2017-04-12,0.0,0,0
756,8078,2017-04-26,0.0,0,0
757,8078,2017-05-10,0.0,0,0
758,8078,2017-05-24,0.0,0,0
785,8090,2017-03-01,0.0,0,0
786,8090,2017-03-15,0.0,0,0
787,8090,2017-03-29,0.0,0,0
788,8090,2017-04-12,0.0,0,0
789,8090,2017-04-26,0.0,0,0
790,8090,2017-05-10,0.0,0,0
791,8090,2017-05-24,0.0,0,0
818,8257,2017-03-01,0.0,0,0
819,8257,2017-03-15,0.0,0,0
820,8257,2017-03-29,0.0,0,0
821,8257,2017-04-12,0.0,0,0
822,8257,2017-04-26,0.0,0,0
823,8257,2017-05-10,0.0,0,0
824,8257,2017-05-24,0.0,0,0
851,8258,2017-03-01,2.0,0,1
852,8258,2017-03-15,0.0,0,1
853,8258,2017-03-29,1.0,0,1
854,8258,2017-04-12,4.0,1,1
855,8258,2017-04-26,1.0,0,1
856,8258,2017-05-10,0.0,0,1
857,8258,2017-05-24,2.0,0,1
884,8281,2017-03-01,0.0,0,0
885,8281,2017-03-15,0.0,0,0
886,8281,2017-03-29,0.0,0,0
887,8281,2017-04-12,0.0,0,0
888,8281,2017-04-26,0.0,0,0
889,8281,2017-05-10,0.0,0,0
890,8281,2017-05-24,1.0,0,0
917,8616,2017-03-01,0.0,0,0
918,8616,2017-03-15,0.0,0,0
919,8616,2017-03-29,0.0,0,0
920,8616,2017-04-12,1.0,0,0
921,8616,2017-04-26,0.0,0,0
922,8616,2017-05-10,0.0,0,0
923,8616,2017-05-24,0.0,0,0
950,8634,2017-03-01,0.0,0,0
951,8634,2017-03-15,0.0,0,0
952,8634,2017-03-29,0.0,0,0
